Timestamp,P1. Me identifico como:,P2. Edad (Número entero solamente):,P3. Estado de procedencia,P4. Área de conocimiento,P5. ¿Cuál es tu nivel de Python?,P6. ¿Cuál es tu nivel de Quarto?,P7. ¿Cuál es tu nivel de GitHub Pages?,P8 ¿Qué ODS te interesa más?,P9 ¿Cuales de estos habitos sostenibles practicas?,P10 ¿En qué acción cilmática has participado? ,P12. ¿Qué musica escuchas más mientras programas/estudias?,P12. ¿Con qué animal te identificas cuando estas en una junta?,P13. Mi snack/botana favorita es:,P14. ¿Cuántas horas esperas dormir en la final de HackODS?,"P15. Si pudieras tener un super poder para HackODS, ¿Cuál sería? "
2/19/2026 15:02:23,Mujer,21,Morelos,Ciencias,Avanzado,Nunca lo usé,Intermedio,Vida submarina,"Composto, Consumo local, Eficiencia energética",Proyecto comunitario,Reggaeton,Ajolote: Se adapta a todo,Gomitas,0,Entender cualquier conjunto de datos
2/19/2026 15:02:57,Hombre,33,CDMX,Ingenierías,Intermedio,Nunca lo usé,Intermedio,"Industria, innovacion e infraestructura","Reciclo, Transporte público, Separo basura, Consumo local, Eficiencia energética","Firma de peticiones, Educación a otras personas, Voluntariado en acciones relacionadas, Donaciones",Otra,"Buh@: Eres una persona nocturna, piensas mucho",Galletas,8,Entender cualquier conjunto de datos
2/19/2026 15:03:56,Mujer,19,Aguascalientes,Ingenierías,Principiante,Nunca lo usé,Nunca lo usé,Salud y bienestar,"Reciclo, Separo basura, Consumo local","Educación a otras personas, Voluntariado en acciones relacionadas",Lo-fi/Chill,Perezos@: Necesita café primero,Papas,4,Entender cualquier conjunto de datos
2/19/2026 15:04:03,Mujer,25,Estado de México,Ingenierías,Nunca lo usé,Nunca lo usé,Nunca lo usé,Producción y consumo responsables,"Transporte público, Composto","Educación a otras personas, Proyecto comunitario",No escucho música,"Buh@: Eres una persona nocturna, piensas mucho",Papas,8,Hablar cualquier idioma
2/19/2026 15:07:17,Mujer,20,Estado de México,Ciencias,Intermedio,Nunca lo usé,Nunca lo usé,Reduccion de las desigualdades,"Reciclo, Transporte público, Uso bicicleta, Separo basura, Consumo local, Eficiencia energética","Firma de peticiones, Contenido en redes",Otra,Ajolote: Se adapta a todo,Chocolate,0,Wifi infinito
2/19/2026 15:08:21,Hombre,44,CDMX,Ingenierías,Intermedio,Nunca lo usé,Principiante,Vida de ecosistemas terrestres,"Reciclo, Transporte público, Separo basura",Donaciones,Electrónica,"Buh@: Eres una persona nocturna, piensas mucho",Café,2,Debuggear código con la mente
2/19/2026 15:10:47,Hombre,25,CDMX,Ingenierías,Intermedio,Nunca lo usé,Principiante,Trabajo decente y crecimiento economico,"Transporte público, Separo basura, Consumo local, Eficiencia energética",Ninguna aún,Electrónica,"Buh@: Eres una persona nocturna, piensas mucho",Papas,0,Entender cualquier conjunto de datos
2/19/2026 15:12:48,Hombre,21,Chiapas,Ingenierías,Principiante,Principiante,Nunca lo usé,"Industria, innovacion e infraestructura","Reciclo, Transporte público, Uso bicicleta, Separo basura, Consumo local",Proyecto comunitario,Hip-hop,Ajolote: Se adapta a todo,Café,7,Entender cualquier conjunto de datos
2/19/2026 15:16:12,Hombre,22,Puebla,Ciencias,Avanzado,Principiante,Principiante,Fin de la pobreza,"Reciclo, Composto, Consumo local, Eficiencia energética","Firma de peticiones, Educación a otras personas, Proyecto comunitario",Electrónica,"Gat@: Eres independiente, apareces cuando quieres y no cuando quieren",Café,0,Debuggear código con la mente
2/19/2026 15:17:31,Hombre,30,CDMX,Ciencias Sociales,Principiante,Nunca lo usé,Principiante,Salud y bienestar,"Uso bicicleta, Separo basura, Consumo local, Eficiencia energética",Ninguna aún,Lo-fi/Chill,"Gat@: Eres independiente, apareces cuando quieres y no cuando quieren",Gomitas,8,Hablar cualquier idioma
